AMI,ARI,NMI,accuracy,aic,bic,completeness,f1_score,homogenity,init,mutual_info,n_clusters,precision,recall,silhouette,time,v-measure
0.015260274344298316,0.009601912649664188,0.03435051738360603,0.137,32653.43083126433,33826.38434294106,0.017622951254515448,0.21480172436875788,0.06695575715327959,gmm-em,0.04090088186199507,12,0.5024811696942845,0.137,0.08543379252370982,0.2358410358428955,0.02790201143371141
0.00924795784315086,0.009857000505476271,0.023391723267327292,0.096,32418.654347074378,33689.76296433075,0.01172367025424133,0.15179888815076395,0.04667247590124497,gmm-em,0.02851054941658784,13,0.5602739726027397,0.096,0.07061439519078606,0.20426607131958008,0.01874002835592308
0.015393947057600717,0.009050563988697316,0.036672442258364225,0.111,32192.293056667833,33561.55677950385,0.01792914269479645,0.18572719234788201,0.07501016886788331,gmm-em,0.04582103445249923,14,0.5790025974025974,0.111,0.0849005200524121,0.22019600868225098,0.02894077863458366
0.01273684804178222,0.0050981814673222645,0.03180201392740457,0.076,31970.701950713945,33438.120779129604,0.015441037447181801,0.1325743388945636,0.06549871362584013,gmm-em,0.04001082598454216,15,0.5197638994668697,0.076,0.0746344721621206,0.27205491065979004,0.02499063998668348
0.015292038403078611,0.013469293831190764,0.03771739518363691,0.118,31710.627944368243,33276.20187836354,0.01812566574572056,0.19567952835584496,0.07848549782368743,gmm-em,0.047943988849497673,16,0.5825417201540436,0.118,0.0893149679680383,0.285722017288208,0.029450052082575368
0.017757245946052984,0.009316022490367736,0.04336618416562751,0.022,31633.034213901163,33296.76325347611,0.020758077400357622,0.04213224640565542,0.0905973078727764,gmm-em,0.05534266124175585,17,0.5960992907801419,0.022,0.11394604181078573,0.3050570487976074,0.033777009068296004
0.01321420913730992,0.003331900932459369,0.03475291779850357,0.071,31425.339432193676,33187.22357734826,0.016277708817465,0.12543061417485088,0.07419749972512635,gmm-em,0.04532460388380745,18,0.6344632768361581,0.071,0.09155578700149933,0.3634219169616699,0.026698259445094037
0.014209956625066118,0.0073914567063369414,0.037362445385003745,0.058,31218.666103911906,33078.70535464614,0.01743589991163782,0.10406085043988271,0.08006196022125828,gmm-em,0.04890699345170558,19,0.5163846153846154,0.058,0.08122139011700477,0.38411903381347656,0.0286355479647371
0.012859112467786425,0.005405841822716312,0.03492310457630192,0.048,31285.844873882248,33244.03923019612,0.016264140575864942,0.08906967716892022,0.07498848325605176,gmm-em,0.04580778748636312,20,0.6177248677248678,0.048,0.09120383540953596,0.38008880615234375,0.026730699502817853
0.01424191274031381,0.007660711383543731,0.03860509433024276,0.095,31028.328690386337,33084.678152279856,0.017723786523783543,0.16201905789284432,0.08408774875769559,gmm-em,0.05136620395623694,21,0.5637096774193548,0.095,0.07401332548208908,0.4198272228240967,0.029276708265454407
0.013874185562904498,0.008689656574182657,0.0385996811481226,0.069,30921.074067579095,33075.578635052254,0.017374900631164123,0.12436302105365918,0.08575216724200081,gmm-em,0.05238293779197932,22,0.6387820512820512,0.069,0.08474503676108992,0.3841390609741211,0.028895137144191663
0.014714216246741182,0.0064362016350301065,0.04084011639631596,0.059,30850.76974108772,33103.42941414052,0.018429845819673038,0.10436542060802266,0.0905007629246801,gmm-em,0.05528368537942008,23,0.6694063926940639,0.059,0.07578987592222629,0.39441800117492676,0.03062344232701443
