AMI,ARI,NMI,accuracy,completeness,f1_score,homogenity,inertia,init,mutual_info,n_clusters,precision,recall,silhouette,time,v-measure
0.011686332661951569,0.007115794010943629,0.027797087483886672,0.092,0.013948401536235241,0.143929659457666,0.05539545664638211,1048.7004026588827,k-means++,0.033839106961304315,12,0.49171180931744307,0.092,0.14956979381804897,0.1215200424194336,0.022285407614672893
0.01069914193973034,0.01299587343148615,0.026451256715823063,0.099,0.013112741442774863,0.17093646408839777,0.053357948442725775,1007.3614932253618,k-means++,0.032594465934546665,13,0.6389677419354839,0.099,0.16671145056384568,0.12247180938720703,0.021051954870683374
0.01655096685250448,0.011674644403933543,0.03921874528693444,0.138,0.01904556048210153,0.22940284157675464,0.08075950210690383,995.0582801675419,k-means++,0.0493330968888345,14,0.7654828660436137,0.138,0.15258695413673273,0.12301325798034668,0.030822283799677365
0.014572914787324451,0.007225190263742171,0.03590283696751894,0.058,0.01719183800278963,0.10541583592757121,0.07497823688817233,965.4015786075012,k-means++,0.045801528345999855,15,0.6005215123859191,0.058,0.15259827590593728,0.1538701057434082,0.027970329932815164
0.013906304951912588,0.009393118493626987,0.03507540808544167,0.074,0.016678062021304438,0.1312789345503214,0.07376661933435134,939.7468941652766,k-means++,0.04506139443462754,16,0.6405901116427433,0.074,0.15374128915190652,0.1349940299987793,0.02720523161605087
0.01530005500030106,0.009181625922573142,0.03881420315457861,0.078,0.018159235320550297,0.14224691977301943,0.08296287480894025,926.061964525591,k-means++,0.05067905861663079,17,0.8129595588235294,0.078,0.15436727611622328,0.12944507598876953,0.02979649781033481
0.016520610607087153,0.006078789029030913,0.04205642732671073,0.037,0.01950550784112608,0.06933202115881411,0.09067916067058877,897.0321148748984,k-means++,0.05539266219396275,18,0.5846153846153845,0.037,0.15883002259012585,0.14600133895874023,0.032105066945840074
0.013195850843137794,0.008533676880703783,0.035482221502960744,0.055,0.01631504478580755,0.0985485011205872,0.07716730534998978,888.2015051718068,k-means++,0.047138752124078344,19,0.590273556231003,0.055,0.14584936740583168,0.16215920448303223,0.02693531005492049
0.013917124791853074,0.008261580735586626,0.03757760642791678,0.049,0.017173677090085507,0.08759540513453087,0.0822233059026488,867.4101047006424,k-means++,0.050227282372867554,20,0.4567251461988304,0.049,0.1662139218265569,0.16550898551940918,0.028412864502228036
0.01744444954503329,0.008820931557852605,0.04587203417070087,0.058,0.020816631256156525,0.10561845759453108,0.10108472850695364,847.7244434414667,k-means++,0.061749052127808624,21,0.6696969696969698,0.058,0.16475190358963357,0.1650989055633545,0.03452370872723824
